ID,Min Level,Name,Slot,Weight,Combat Stats,Special Effects,Attributes,Magic Resistance,Health & Mana,Spells,Other Identifiers,Classes,Monster,Location
"00001","0","a bag","held","Wg2","","","","","","","Cap+23","111111111111111111","the Grocer (shop)","City of Midgaard"

"00002","0","a breast plate","on body","Wg100","AC-7","","","","","","","111110111011011101","the halfling","Northern Road"

"00003","0","a bright red cap","on head","Wg1","AC-3","","","","","","Age-10","111111111111111111","a little boy","The Newbie Zoo"

"00004","0","a burlap cape","around neck","Wg2","AC-3","","","","","","","111111111111111111","Tucker the Orangutan","The Newbie Zoo"

"00005","0","a dagger","wielded","Wg1","DD1d4","","","","","","(BStab)","111111111111111111","the Weaponsmith (shop)","City of Midgaard"

"00006","0","a dragon tooth necklace","around neck","Wg1","AC-2","","","","","","","111111111111111111","a large komodo dragon","The Newbie Zoo"

"00007","0","a full set of red undergarments","on body","Wg12","AC-1","","","","","","Dex+2 Cha+1","111111111111111111","?","?"

"00008","0","a lantern","as light","Wg1","","","","","","","(NoInf)","111111111111111111","a bouncy male ferret","Northern Road"

"00009","0","a mata mata shell","as shield","Wg3","AC-3","","","","","","","111111111111111111","a mata mata","The Newbie Zoo"

"00010","0","a Newbie Zoo belt pouch","about waist","Wg1","","","","","","","Cap+9 Arm-1","111111111111111111","the Souveneir Salesman (shop)","The Newbie Zoo"

"00011","0","a Newbie Zoo wrist band","around wrist","Wg1","AC-1 HR+1","","","","","","","111111111111111111","the Souveneir Salesman (shop)","The Newbie Zoo"

"00012","0","a pair of khaki pants","on legs","Wg2","AC-4","","","","","","","111111111111111111","Danno the Zookeeper","The Newbie Zoo"

"00013","0","a pair of lion's paws","on feet","Wg1","AC-1 HR+1 DR+1","","","","","","","111111111111111111","a fierce lion","The Newbie Zoo"

"00014","0","a pair of tiger's paws","on hands","Wg1","AC-2","","","","Mv+10","","Con+1","111111111111111111","a vicious tiger","The Newbie Zoo"

"00015","0","a peacock's feather","on head","Wg1","","","","","Mn+10 Mv+10","","Cha+2","111111111111111111","a colorful peacock","The Newbie Zoo"

"00016","0","a safari vest","on body","Wg1","AC-3","","","","","","","111111111111111111","Danno the Zookeeper","The Newbie Zoo"

"00017","0","a shiny bracelet","around wrist","Wg1","AC-2 DR+1","","","","","","","111111111111111111","a little girl","The Newbie Zoo"

"00018","0","a small brass lantern","as light","Wg1","","","","","","","(NoInf)","111111111111111111","a groundskeeper","The Newbie Zoo"

"00019","0","a small shovel","wielded","Wg1","DD2d4 HR+1 DR+1","","","","","","","111111111111111111","a groundskeeper","The Newbie Zoo"

"00020","0","a small spade","wielded","Wg1","DD3d5","","","","","","","111111111111111111","a groundskeeper","The Newbie Zoo"

"00021","0","a torch","as light","Wg1","","","","","","","(NoInf)","111111111111111111","the Grocer (shop)","City of Midgaard"

"00022","0","a warhammer","wielded","Wg6","DD1d5","","","","","","","111111111111111111","the Weaponsmith (shop)","City of Midgaard"

"00023","0","some furry sleeves","on arms","Wg1","AC-2","","","","","","","111111111111111111","a female tamarin","The Newbie Zoo"

"00024","1","a backpack","about body","Wg8","","","","","","","Cap+142","111111111111111111","the Grocer (shop)","City of Midgaard"

"00025","1","a big sack","held","Wg3","","","","","","","Cap+197","111111111111111111","Saint Nicholas","Heaven"

"00026","1","a black silk robe","about body","Wg6","AC-1","","","","","","","111111111111111111","the mimic","Thalos"

"00027","1","a bloody cloak","on body","Wg15","AC-4","","","","","","","111111111111111111","the chief gnome","Gnome Village"

"00028","1","a blue steel poniard","wielded","Wg9","DD2d6","","","","","","","111001110111111111","Murmer Flightfoot","Geldenrock"

"00029","1","a bronze breast plate","on body","Wg80","AC-6","","","","","","","111111111111111111","the halfling","Northern Road"

"00030","1","a bronze helmet","on head","Wg8","AC-6","","","","","","","111111111111111111","the halfling","Northern Road"

"00031","1","a bunch of violets","held","Wg2","AC-3","","","","","","Arm+3","111111111111111111","Violet","Tynstri"

"00032","1","a burnt kebab","held","Wg1","","","","","","","SPo+8","111111111111111111","the ghost of Uncle Juan","Rage of the Gods"

"00033","1","a chunky hammer","wielded","Wg8","DD2d6","","","","","","","111111111111111111","the burly blacksmith (shop)","Geldenrock"

"00034","1","a cluster of tiny sweet-smelling flowers","around wrist","Wg1","AC-2","","","","","","","111111111111111111","Flora (shop)","Tynstri"

