ID,Min Level,Name,Slot,Weight,Combat Stats,Special Effects,Attributes,Magic Resistance,Health & Mana,Spells,Other Identifiers,Classes,Monster,Location
00050,1,a jeweled hairpin,on head,Wg1,,,,,,,Str-1 Int+1,111111111111111111,the jeweler (shop),Rome
00074,1,a pair of leather sandals,on feet,Wg2,AC-2,,,,,,,111111111111111111,the peddler,Rome
00081,1,a pewter ring,on finger,Wg5,,,,,Hp+10,,Dex+1,111111111111111111,the page,Rome
00098,1,a staff of sleep,held,Wg17,,,,,,,5x Sleep,111111111111111111,Frobozz's shopkeeper (shop),Rome
00179,5,a tempered sword,wielded,Wg16,DD3d8 HR-2,,,,,,,111111111111111111,Titus's shopkeeper (shop),Rome
00191,7,a bronze belt,about waist,Wg5,AC-4 HR+1,,,,,,Str-2,111111111111111111,the citizen,Rome
00193,7,a Roman combat helmet,on head,Wg25,AC-8 HR+1,,,,,,Dex-2,111110111011011101,the Roman warrior,Rome
00194,7,a silver and gold bracelet,around wrist,Wg14,AC-7 DR-2,,,,Mn+25,,,111111111111111111,the shopworker,Rome
00195,8,a bulla,around neck,Wg1,HR+4 DR-3,,,,,,,111111111111111111,the Roman warrior,Rome
00201,9,a jade pendant,around neck,Wg30,,,,,,,Int+2 Wis+2,111111111111111111,the master scheduler,Rome
00202,9,a pair of Roman combat boots,on feet,Wg45,AC-8 DR-1,,,,,,Str+2,111110111011011101,the Roman warrior,Rome
00203,9,a sapphire ring,on finger,Wg20,AC-10 HR+2,,,,,,,111111111111111111,the priest,Rome
00229,10,a wide leather slave collar,around neck,Wg1,AC-8,,,,,,AG,111111111111111111,the slave,Rome
00232,11,a quenched sword,wielded,Wg14,DD3d5,,,,,,,111111111111111111,Titus's shopkeeper (shop),Rome
00233,12,a pair of Moorish bracers,on arms,Wg15,AC-8 DR+2,,,,,,Dex-2,111110111011011101,the moorish soldier,Rome
00239,13,a bag of herbs,held,Wg5,,,,,,,4xRemove Poison,111111111111111111,the healer,Rome
00240,13,a Kodarta staff,held,Wg6,,,,,,,3xCure Critic,111111111111111111,the healer,Rome
00256,15,a Roman combat breast plate,on body,Wg10,AC-8 HR-2,,,,,,Dex+1,111110111011011101,the Roman warrior,Rome
00323,23,a red loincloth,about waist,Wg30,AC-15,,,,,,Str+2 Dex+2 AE,111000110010011101,the mighty warrior,Rome
00367,26,Jupiter's Thunderbolt,wielded,Wg22,DD4d6 HR+3 DR+3,,,,,,,111000110010011101,Jupiter,Rome
00374,27,a pair of winged sandals,on feet,Wg14,AC-8,,,,Mv+100,,Dex+2 AN,111110111011011101,Mercury,Rome
00448,31,a crystal necklace,around neck,Wg35,,,,,,,Int+6 Wis+6,111111111111111111,Venus,Rome
00744,60,a clean white toga with a purple stripe,about body,Wg1,AC-10,,,,,+Regeneration,,111111111111111111,the Consul,Rome
